Qid	Query	Rank	SubsectionText	ChapterTitle	SectionTitle	SubsectionTitle	Keywords
3	definition of surviving spouse	1	(c) Definition For purposes of this section, an interest in property shall be considered as passing from the decedent to any person if and only if (1) such interest is bequeathed or devised to such person by the decedent; (2) such interest is inherited by such person from the decedent; (3) such interest is the dower or curtesy interest (or statutory interest in lieu thereof) of such person as surviving spouse of the decedent; (4) such interest has been transferred to such person by the decedent at any time; (5) such interest was, at the time of the decedents death, held by such person and the decedent (or by them and any other person) in joint ownership with right of survivorship; (6) the decedent had a power (either alone or in conjunction with any person) to appoint such interest and if he appoints or has appointed such interest to such person, or if such person takes such interest in default on the release or nonexercise of such power; or (7) such interest consists of proceeds of insurance on the life of the decedent receivable by such person. Except as provided in paragraph (5) or (6) of subsection (b), where at the time of the decedents death it is not possible to ascertain the particular person or persons to whom an interest in property may pass from the decedent, such interest shall, for purposes of subparagraphs (A) and (B) of subsection (b)(1), be considered as passing from the decedent to a person other than the surviving spouse.	Estate and Gift Taxes - ESTATE TAX	Estates of Citizens or Residents - TAXABLE ESTATE	Bequests, etc., to surviving spouse - Definition	surviving spouse, decedents death, joint ownership, lieu thereof, curtesy interest, interest consists, statutory interest, decedent receivable, person takes, interest, decedent, person, insurance, nonexercise, purposes, appoints, held, pass, survivorship, proceeds, bequeathed, default, inherited, power, provided, devised, persons, conjunction, appointed, appoint, definition, ascertain, considered, dower, life, transferred, time, release, passing, property
3	definition of surviving spouse	2	(a) Definition of surviving spouse (1) In general For purposes of section 1, the term surviving spouse means a taxpayer (A) whose spouse died during either of his two taxable years immediately preceding the taxable year, and (B) who maintains as his home a household which constitutes for the taxable year the principal place of abode (as a member of such household) of a dependent (i) who (within the meaning of section 152, determined without regard to subsections (b)(1), (b)(2), and (d)(1)(B) thereof) is a son, stepson, daughter, or stepdaughter of the taxpayer, and (ii) with respect to whom the taxpayer is entitled to a deduction for the taxable year under section 151. For purposes of this paragraph, an individual shall be considered as maintaining a household only if over half of the cost of maintaining the household during the taxable year is furnished by such individual. (2) Limitations Notwithstanding paragraph (1), for purposes of section 1 a taxpayer shall not be considered to be a surviving spouse (A) if the taxpayer has remarried at any time before the close of the taxable year, or (B) unless, for the taxpayers taxable year during which his spouse died, a joint return could have been made under the provisions of section 6013 (without regard to subsection (a)(3) thereof). (3) Special rule where deceased spouse was in missing status If an individual was in a missing status (within the meaning of section 6013(f)(3)) as a result of service in a combat zone (as determined for purposes of section 112) and if such individual remains in such status until the date referred to in subparagraph (A) or (B), then, for purposes of paragraph (1)(A), the date on which such individual died shall be treated as the earlier of the date determined under subparagraph (A) or the date determined under subparagraph (B): (A) the date on which the determination is made under section 556 of title 37 of the United States Code or under section 5566 of title 5 of such Code (whichever is applicable) that such individual died while in such missing status, or (B) except in the case of the combat zone designated for purposes of the Vietnam conflict, the date which is 2 years after the date designated under section 112 as the date of termination of combatant activities in that zone.	Income Taxes - NORMAL TAXES AND SURTAXES	Determination of Tax Liability - TAX ON INDIVIDUALS	Definitions and special rules - Definition of surviving spouse	term surviving spouse means, taxable years immediately preceding, united states code, taxpayers taxable year, combat zone designated, surviving spouse, taxable year, combat zone, spouse died, deceased spouse, principal place, combatant activities, date designated, special rule, joint return, vietnam conflict, limitations notwithstanding, missing status, individual died, individual remains, date referred, date determined, 2 years, code, zone, status, determined, individual, date, cost, close, furnished, household, purposes, thereof, general, result, respect, home, stepson, stepdaughter, member, taxpayer, title 37, constitutes, entitled, abode, title 5, earlier, provisions, dependent, maintains, applicable, remarried, meaning, determination, half, son, maintaining, definition, made, daughter, service, considered, whichever, deduction, time, termination, treated
3	definition of surviving spouse	3	(d) Disallowance of marital deduction where surviving spouse not United States citizen (1) In general Except as provided in paragraph (2), if the surviving spouse of the decedent is not a citizen of the United States (A) no deduction shall be allowed under subsection (a), and (B) section 2040(b) shall not apply. (2) Marital deduction allowed for certain transfers in trust (A) In general Paragraph (1) shall not apply to any property passing to the surviving spouse in a qualified domestic trust. (B) Special rule If any property passes from the decedent to the surviving spouse of the decedent, for purposes of subparagraph (A), such property shall be treated as passing to such spouse in a qualified domestic trust if (i) such property is transferred to such a trust before the date on which the return of the tax imposed by this chapter is made, or (ii) such property is irrevocably assigned to such a trust under an irrevocable assignment made on or before such date which is enforceable under local law. (3) Allowance of credit to certain spouses If (A) property passes to the surviving spouse of the decedent (hereinafter in this paragraph referred to as the first decedent), (B) without regard to this subsection, a deduction would be allowable under subsection (a) with respect to such property, and (C) such surviving spouse dies and the estate of such surviving spouse is subject to the tax imposed by this chapter, the Federal estate tax paid (or treated as paid under section 2056A(b)(7)) by the first decedent with respect to such property shall be allowed as a credit under section 2013 to the estate of such surviving spouse and the amount of such credit shall be determined under such section without regard to when the first decedent died and without regard to subsection (d)(3) of such section. (4) Special rule where resident spouse becomes citizen Paragraph (1) shall not apply if (A) the surviving spouse of the decedent becomes a citizen of the United States before the day on which the return of the tax imposed by this chapter is made, and (B) such spouse was a resident of the United States at all times after the date of the death of the decedent and before becoming a citizen of the United States. (5) Reformations permitted (A) In general In the case of any property with respect to which a deduction would be allowable under subsection (a) but for this subsection, the determination of whether a trust is a qualified domestic trust shall be made (i) as of the date on which the return of the tax imposed by this chapter is made, or (ii) if a judicial proceeding is commenced on or before the due date (determined with regard to extensions) for filing such return to change such trust into a trust which is a qualified domestic trust, as of the time when the changes pursuant to such proceeding are made. (B) Statute of limitations If a judicial proceeding described in subparagraph (A)(ii) is commenced with respect to any trust, the period for assessing any deficiency of tax attributable to any failure of such trust to be a qualified domestic trust shall not expire before the date 1 year after the date on which the Secretary is notified that the trust has been changed pursuant to such judicial proceeding or that such proceeding has been terminated.	Estate and Gift Taxes - ESTATE TAX	Estates of Citizens or Residents - TAXABLE ESTATE	Bequests, etc., to surviving spouse - Disallowance of marital deduction where surviving spouse not United States citizen	federal estate tax paid, qualified domestic trust, irrevocable assignment made, surviving spouse dies, united states citizen, marital deduction allowed, united states, tax attributable, tax imposed, marital deduction, surviving spouse, local law, reformations permitted, irrevocably assigned, special rule, judicial proceeding, changed pursuant, resident spouse, property passes, due date, date 1 year, decedent died, property passing, paid, estate, spouse, trust, allowed, proceeding, deduction, pursuant, resident, passing, citizen, made, property, date, decedent, death, return, 2056a, day, notified, referred, deficiency, respect, subject, provided, spouses, enforceable, limitations, expire, change, times, credit, amount, extensions, secretary, allowance, period, apply, terminated, failure, commenced, determination, transferred, determined, treated, purposes, general, assessing, hereinafter, allowable, transfers, statute, disallowance, time, filing
3	definition of surviving spouse	4	(b) Limitation in the case of life estate or other terminable interest (1) General rule Where, on the lapse of time, on the occurrence of an event or contingency, or on the failure of an event or contingency to occur, an interest passing to the surviving spouse will terminate or fail, no deduction shall be allowed under this section with respect to such interest (A) if an interest in such property passes or has passed (for less than an adequate and full consideration in money or moneys worth) from the decedent to any person other than such surviving spouse (or the estate of such spouse); and (B) if by reason of such passing such person (or his heirs or assigns) may possess or enjoy any part of such property after such termination or failure of the interest so passing to the surviving spouse; and no deduction shall be allowed with respect to such interest (even if such deduction is not disallowed under subparagraphs (A) and (B)) (C) if such interest is to be acquired for the surviving spouse, pursuant to directions of the decedent, by his executor or by the trustee of a trust. For purposes of this paragraph, an interest shall not be considered as an interest which will terminate or fail merely because it is the ownership of a bond, note, or similar contractual obligation, the discharge of which would not have the effect of an annuity for life or for a term. (2) Interest in unidentified assets Where the assets (included in the decedents gross estate) out of which, or the proceeds of which, an interest passing to the surviving spouse may be satisfied include a particular asset or assets with respect to which no deduction would be allowed if such asset or assets passed from the decedent to such spouse, then the value of such interest passing to such spouse shall, for purposes of subsection (a), be reduced by the aggregate value of such particular assets. (3) Interest of spouse conditional on survival for limited period For purposes of this subsection, an interest passing to the surviving spouse shall not be considered as an interest which will terminate or fail on the death of such spouse if (A) such death will cause a termination or failure of such interest only if it occurs within a period not exceeding 6 months after the decedents death, or only if it occurs as a result of a common disaster resulting in the death of the decedent and the surviving spouse, or only if it occurs in the case of either such event; and (B) such termination or failure does not in fact occur. (4) Valuation of interest passing to surviving spouse In determining for purposes of subsection (a) the value of any interest in property passing to the surviving spouse for which a deduction is allowed by this section (A) there shall be taken into account the effect which the tax imposed by section 2001, or any estate, succession, legacy, or inheritance tax, has on the net value to the surviving spouse of such interest; and (B) where such interest or property is encumbered in any manner, or where the surviving spouse incurs any obligation imposed by the decedent with respect to the passing of such interest, such encumbrance or obligation shall be taken into account in the same manner as if the amount of a gift to such spouse of such interest were being determined. (5) Life estate with power of appointment in surviving spouse In the case of an interest in property passing from the decedent, if his surviving spouse is entitled for life to all the income from the entire interest, or all the income from a specific portion thereof, payable annually or at more frequent intervals, with power in the surviving spouse to appoint the entire interest, or such specific portion (exercisable in favor of such surviving spouse, or of the estate of such surviving spouse, or in favor of either, whether or not in each case the power is exercisable in favor of others), and with no power in any other person to appoint any part of the interest, or such specific portion, to any person other than the surviving spouse (A) the interest or such portion thereof so passing shall, for purposes of subsection (a), be considered as passing to the surviving spouse, and (B) no part of the interest so passing shall, for purposes of paragraph (1)(A), be considered as passing to any person other than the surviving spouse. This paragraph shall apply only if such power in the surviving spouse to appoint the entire interest, or such specific portion thereof, whether exercisable by will or during life, is exercisable by such spouse alone and in all events. (6) Life insurance or annuity payments with power of appointment in surviving spouse In the case of an interest in property passing from the decedent consisting of proceeds under a life insurance, endowment, or annuity contract, if under the terms of the contract such proceeds are payable in installments or are held by the insurer subject to an agreement to pay interest thereon (whether the proceeds, on the termination of any interest payments, are payable in a lump sum or in annual or more frequent installments), and such installment or interest payments are payable annually or at more frequent intervals, commencing not later than 13 months after the decedents death, and all amounts, or a specific portion of all such amounts, payable during the life of the surviving spouse are payable only to such spouse, and such spouse has the power to appoint all amounts, or such specific portion, payable under such contract (exercisable in favor of such surviving spouse, or of the estate of such surviving spouse, or in favor of either, whether or not in each case the power is exercisable in favor of others), with no power in any other person to appoint such amounts to any person other than the surviving spouse (A) such amounts shall, for purposes of subsection (a), be considered as passing to the surviving spouse, and (B) no part of such amounts shall, for purposes of paragraph (1)(A), be considered as passing to any person other than the surviving spouse. This paragraph shall apply only if, under the terms of the contract, such power in the surviving spouse to appoint such amounts, whether exercisable by will or during life, is exercisable by such spouse alone and in all events. (7) Election with respect to life estate for surviving spouse (A) In general In the case of qualified terminable interest property (i) for purposes of subsection (a), such property shall be treated as passing to the surviving spouse, and (ii) for purposes of paragraph (1)(A), no part of such property shall be treated as passing to any person other than the surviving spouse. (B) Qualified terminable interest property defined For purposes of this paragraph (i) In general The term qualified terminable interest property means property (I) which passes from the decedent, (II) in which the surviving spouse has a qualifying income interest for life, and (III) to which an election under this paragraph applies. (ii) Qualifying income interest for life The surviving spouse has a qualifying income interest for life if (I) the surviving spouse is entitled to all the income from the property, payable annually or at more frequent intervals, or has a usufruct interest for life in the property, and (II) no person has a power to appoint any part of the property to any person other than the surviving spouse. Subclause (II) shall not apply to a power exercisable only at or after the death of the surviving spouse. To the extent provided in regulations, an annuity shall be treated in a manner similar to an income interest in property (regardless of whether the property from which the annuity is payable can be separately identified). (iii) Property includes interest therein The term property includes an interest in property. (iv) Specific portion treated as separate prop­erty A specific portion of property shall be treated as separate property. (v) Election An election under this paragraph with respect to any property shall be made by the executor on the return of tax imposed by section 2001. Such an election, once made, shall be irrevocable. (C) Treatment of survivor annuities In the case of an annuity included in the gross estate of the decedent under section 2039 (or, in the case of an interest in an annuity arising under the community property laws of a State, included in the gross estate of the decedent under section 2033) where only the surviving spouse has the right to receive payments before the death of such surviving spouse (i) the interest of such surviving spouse shall be treated as a qualifying income interest for life, and (ii) the executor shall be treated as having made an election under this subsection with respect to such annuity unless the executor otherwise elects on the return of tax imposed by section 2001. An election under clause (ii), once made, shall be irrevocable. (8) Special rule for charitable remainder trusts (A) In general If the surviving spouse of the decedent is the only beneficiary of a qualified charitable remainder trust who is not a charitable beneficiary nor an ESOP beneficiary, paragraph (1) shall not apply to any interest in such trust which passes or has passed from the decedent to such surviving spouse. (B) Definitions For purposes of subparagraph (A) (i) Charitable beneficiary The term charitable beneficiary means any beneficiary which is an organization described in section 170(c). (ii) ESOP beneficiary The term ESOP beneficiary means any beneficiary which is an employee stock ownership plan (as defined in section 4975(e)(7)) that holds a remainder interest in qualified employer securities (as defined in section 664(g)(4)) to be transferred to such plan in a qualified gratuitous transfer (as defined in section 664(g)(1)). (iii) Qualified charitable remainder trust The term qualified charitable remainder trust means a charitable remainder annuity trust or a charitable remainder unitrust (described in section 664). (9) Denial of double deduction Nothing in this section or any other provision of this chapter shall allow the value of any interest in property to be deducted under this chapter more than once with respect to the same decedent. (10) Specific portion For purposes of paragraphs (5), (6), and (7)(B)(iv), the term specific portion only includes a portion determined on a fractional or percentage basis.	Estate and Gift Taxes - ESTATE TAX	Estates of Citizens or Residents - TAXABLE ESTATE	Bequests, etc., to surviving spouse - Limitation in the case of life estate or other terminable interest	term qualified terminable interest property means property, term qualified charitable remainder trust means, qualified charitable remainder trust, qualified terminable interest property defined, term charitable beneficiary means, term esop beneficiary means, employee stock ownership plan, qualified terminable interest property, charitable remainder annuity trust, qualified employer securities, qualified gratuitous transfer, charitable remainder trusts, charitable remainder unitrust, common disaster resulting, term specific portion, term property includes, separate prop­erty, community property laws, pay interest thereon, similar contractual obligation, specific portion thereof, qualifying income interest, surviving spouse incurs, decedents gross estate, property includes interest, terminable interest, specific portion treated, charitable beneficiary, remainder interest, portion thereof, esop beneficiary, specific portion, separate property, gross estate, separately identified, receive payments, extent provided, term, frequent intervals, insurer subject, satisfied include, obligation imposed, moneys worth, percentage basis, survivor annuities, tax imposed, lump sum, full consideration, inheritance tax, special rule, income interest, surviving spouse, spouse conditional, portion determined, manner similar, usufruct interest, entire interest, interest payments, annuity payments, annuity arising, property passing, decedents death, property passes, exceeding 6 months, fact occur, frequent installments, limited period, unidentified assets, trust, payable annually, life insurance, general rule, interest passing, double deduction, annuity included, decedent consisting, life estate, annuity contract, assets passed, plan, ownership, includes, property, power exercisable, income, beneficiary, obligation, defined, spouse, interest, annuity, estate, 13 months, installments, period, determined, occur, passing, assets, included, passes, life, passed, manner, payable, death, treated, contract, general, deduction, exercisable, power, decedent, money, terminate, held, deducted, endowment, state, adequate, appointment, pursuant, survival, provision, possess, installment, gift, succession, reduced, bond, enjoy, occurrence, acquired, commencing, legacy, result, apply, encumbered, event, favor, irrevocable, fractional, net, occurs, terms, agreement, reason, directions, limitation, determining, annual, amount, encumbrance, respect, applies, asset, disallowed, elects, failure, valuation, account, made, lapse, transferred, executor, election, purposes, return, fail, allowed, trustee, denial, amounts, holds, treatment, heirs, proceeds, note, events, entitled, assigns, effect, regulations, definitions, aggregate, discharge, contingency, appoint, organization, considered, person, part, time, termination
3	definition of surviving spouse	5	(a) Allowance of marital deduction For purposes of the tax imposed by section 2001, the value of the taxable estate shall, except as limited by subsection (b), be determined by deducting from the value of the gross estate an amount equal to the value of any interest in property which passes or has passed from the decedent to his surviving spouse, but only to the extent that such interest is included in determining the value of the gross estate.	Estate and Gift Taxes - ESTATE TAX	Estates of Citizens or Residents - TAXABLE ESTATE	Bequests, etc., to surviving spouse - Allowance of marital deduction	marital deduction, taxable estate, amount equal, gross estate, surviving spouse, tax imposed, limited, decedent, property, passed, determining, determined, purposes, included, interest, extent, deducting, passes, allowance
4	when should i submit my tax return	1	(a) General rule Any person who employs a tax return preparer to prepare any return or claim for refund other than for such person at any time during a return period shall make a return setting forth the name, taxpayer identification number, and place of work of each tax return preparer employed by him at any time during such period. For purposes of this section, any individual who in acting as a tax return preparer is not the employee of another tax return preparer shall be treated as his own employer. The return required by this section shall be filed, in such manner as the Secretary may by regulations prescribe, on or before the first July 31 following the end of such return period.	Procedure and Administration - INFORMATION AND RETURNS	Returns and Records - INFORMATION RETURNS - Information Concerning Tax Return Preparers	Information returns of tax return preparers - General rule	tax return preparer employed, taxpayer identification number, tax return preparer, return setting, return required, return period, general rule, regulations prescribe, return, period, refund, claim, individual, manner, employs, july 31, end, prepare, make, employer, acting, employee, purposes, filed, work, person, place, time, treated, secretary
4	when should i submit my tax return	2	(c) Secretary required to enter into installment agreements in certain cases In the case of a liability for tax of an individual under subtitle A, the Secretary shall enter into an agreement to accept the full payment of such tax in installments if, as of the date the individual offers to enter into the agreement (1) the aggregate amount of such liability (determined without regard to interest, penalties, additions to the tax, and additional amounts) does not exceed $10,000; (2) the taxpayer (and, if such liability relates to a joint return, the taxpayers spouse) has not, during any of the preceding 5 taxable years (A) failed to file any return of tax imposed by subtitle A; (B) failed to pay any tax required to be shown on any such return; or (C) entered into an installment agreement under this section for payment of any tax imposed by subtitle A, (3) the Secretary determines that the taxpayer is financially unable to pay such liability in full when due (and the taxpayer submits such information as the Secretary may require to make such determination); (4) the agreement requires full payment of such liability within 3 years; and (5) the taxpayer agrees to comply with the provisions of this title for the period such agreement is in effect.	Procedure and Administration - TIME AND PLACE FOR PAYING TAX	Place and Due Date for Payment of Tax	Agreements for payment of tax liability in installments - Secretary required to enter into installment agreements in certain cases	agreement requires full payment, preceding 5 taxable years, full payment, financially unable, installment agreements, aggregate amount, additional amounts, taxpayers spouse, installment agreement, secretary required, taxpayer submits, secretary determines, tax imposed, tax required, taxpayer agrees, individual offers, joint return, liability relates, payment, full, 3 years, agreement, tax, individual, taxpayer, secretary, return, liability, subtitle, exceed $10, penalties, period, accept, due, file, additions, make, information, shown, title, pay, comply, failed, determined, interest, provisions, determination, date, cases, enter, installments, effect, entered, require
4	when should i submit my tax return	3	(c) Return period defined For purposes of subsection (a), the term return period means the 12-month period beginning on July 1 of each year.	Procedure and Administration - INFORMATION AND RETURNS	Returns and Records - INFORMATION RETURNS - Information Concerning Tax Return Preparers	Information returns of tax return preparers - Return period defined	term return period means, return period defined, 12-month period beginning, purposes, year, july 1
4	when should i submit my tax return	4	(b) Alternative reporting In lieu of the return required by subsection (a), the Secretary may approve an alternative reporting method if he determines that the necessary information is available to him from other sources.	Procedure and Administration - INFORMATION AND RETURNS	Returns and Records - INFORMATION RETURNS - Information Concerning Tax Return Preparers	Information returns of tax return preparers - Alternative reporting	alternative reporting method, alternative reporting, return required, information, determines, sources, lieu, approve, secretary
4	when should i submit my tax return	5	(a) Understatement due to unreasonable positions (1) In general If a tax return preparer (A) prepares any return or claim of refund with respect to which any part of an understatement of liability is due to a position described in paragraph (2), and (B) knew (or reasonably should have known) of the position, such tax return preparer shall pay a penalty with respect to each such return or claim in an amount equal to the greater of $1,000 or 50 percent of the income derived (or to be derived) by the tax return preparer with respect to the return or claim. (2) Unreasonable position (A) In general Except as otherwise provided in this paragraph, a position is described in this paragraph unless there is or was substantial authority for the position. (B) Disclosed positions If the position was disclosed as provided in section 6662(d)(2)(B)(ii)(I) and is not a position to which subparagraph (C) applies, the position is described in this paragraph unless there is a reasonable basis for the position. (C) Tax shelters and reportable transactions If the position is with respect to a tax shelter (as defined in section 6662(d)(2)(C)(ii)) or a reportable transaction to which section 6662A applies, the position is described in this paragraph unless it is reasonable to believe that the position would more likely than not be sustained on its merits. (3) Reasonable cause exception No penalty shall be imposed under this subsection if it is shown that there is reasonable cause for the understatement and the tax return preparer acted in good faith.	Procedure and Administration - ADDITIONS TO THE TAX, ADDITIONAL AMOUNTS, AND ASSESSABLE PENALTIES	Assessable Penalties - GENERAL PROVISIONS	Understatement of taxpayer’s liability by tax return preparer - Understatement due to unreasonable positions	tax return preparer acted, tax return preparer, tax shelters, tax shelter, amount equal, reportable transactions, substantial authority, good faith, reportable transaction, unreasonable positions, 6662a applies, income derived, disclosed positions, reasonable basis, unreasonable position, understatement due, return, due, disclosed, derived, applies, understatement, reasonable, position, refund, claim, general, merits, respect, shown, pay, penalty, defined, 50 percent, knew, greater, provided, liability, part, prepares, sustained, exception, imposed
5	my tenant paid for some repairs in my rental unit. is this taxable?	1	(d) Use as residence (1) In general For purposes of this section, a taxpayer uses a dwelling unit during the taxable year as a residence if he uses such unit (or portion thereof) for personal purposes for a number of days which exceeds the greater of (A) 14 days, or (B) 10 percent of the number of days during such year for which such unit is rented at a fair rental. For purposes of subparagraph (B), a unit shall not be treated as rented at a fair rental for any day for which it is used for personal purposes. (2) Personal use of unit For purposes of this section, the taxpayer shall be deemed to have used a dwelling unit for personal purposes for a day if, for any part of such day, the unit is used (A) for personal purposes by the taxpayer or any other person who has an interest in such unit, or by any member of the family (as defined in section 267(c)(4)) of the taxpayer or such other person; (B) by any individual who uses the unit under an arrangement which enables the taxpayer to use some other dwelling unit (whether or not a rental is charged for the use of such other unit); or (C) by any individual (other than an employee with respect to whose use section 119 applies), unless for such day the dwelling unit is rented for a rental which, under the facts and circumstances, is fair rental. The Secretary shall prescribe regulations with respect to the circumstances under which use of the unit for repairs and annual maintenance will not constitute personal use under this paragraph, except that if the taxpayer is engaged in repair and maintenance on a substantially full time basis for any day, such authority shall not allow the Secretary to treat a dwelling unit as being used for personal use by the taxpayer on such day merely because other individuals who are on the premises on such day are not so engaged. (3) Rental to family member, etc., for use as principal residence (A) In general A taxpayer shall not be treated as using a dwelling unit for personal purposes by reason of a rental arrangement for any period if for such period such dwelling unit is rented, at a fair rental, to any person for use as such persons principal residence. (B) Special rules for rental to person having interest in unit (i) Rental must be pursuant to shared equity financing agreement Subparagraph (A) shall apply to a rental to a person who has an interest in the dwelling unit only if such rental is pursuant to a shared equity financing agreement. (ii) Determination of fair rental In the case of a rental pursuant to a shared equity financing agreement, fair rental shall be determined as of the time the agreement is entered into and by taking into account the occupants qualified ownership interest. (C) Shared equity financing agreement For purposes of this paragraph, the term shared equity financing agreement means an agreement under which (i) 2 or more persons acquire qualified ownership interests in a dwelling unit, and (ii) the person (or persons) holding 1 or more of such interests (I) is entitled to occupy the dwelling unit for use as a principal residence, and (II) is required to pay rent to 1 or more other persons holding qualified ownership interests in the dwelling unit. (D) Qualified ownership interest For purposes of this paragraph, the term qualified ownership interest means an undivided interest for more than 50 years in the entire dwelling unit and appurtenant land being acquired in the transaction to which the shared equity financing agreement relates. (4) Rental of principal residence (A) In general For purposes of applying subsection (c)(5) to deductions allocable to a qualified rental period, a taxpayer shall not be considered to have used a dwelling unit for personal purposes for any day during the taxable year which occurs before or after a qualified rental period described in subparagraph (B)(i), or before a qualified rental period described in subparagraph (B)(ii), if with respect to such day such unit constitutes the principal residence (within the meaning of section 121) of the taxpayer. (B) Qualified rental period For purposes of subparagraph (A), the term qualified rental period means a consecutive period of (i) 12 or more months which begins or ends in such taxable year, or (ii) less than 12 months which begins in such taxable year and at the end of which such dwelling unit is sold or exchanged, and for which such unit is rented, or is held for rental, at a fair rental.	Income Taxes - NORMAL TAXES AND SURTAXES	Computation of Taxable Income - ITEMS NOT DEDUCTIBLE	Disallowance of certain expenses in connection with business use of home, rental of vacation homes, etc. - Use as residence	term shared equity financing agreement means, shared equity financing agreement relates, term qualified ownership interest means, persons acquire qualified ownership interests, term qualified rental period means, persons holding qualified ownership interests, shared equity financing agreement, occupants qualified ownership interest, substantially full time basis, qualified ownership interest, qualified rental period, persons principal residence, entire dwelling unit, consecutive period, undivided interest, principal residence, pay rent, special rules, appurtenant land, prescribe regulations, portion thereof, deductions allocable, fair rental, taxable year, constitute personal, dwelling unit, interests, agreement, unit constitutes, annual maintenance, persons, rental arrangement, rental pursuant, personal purposes, holding 1, family member, period, time, interest, rental, residence, year, personal, unit, family, maintenance, arrangement, member, purposes, pursuant, held, facts, taxpayer, employee, circumstances, exchanged, greater, day, individuals, secretary, ends, authority, individual, repairs, 12 months, apply, occurs, deemed, premises, sold, reason, taking, months, days, 10 percent, exceeds, repair, number, respect, rented, occupy, 14 days, treat, entered, engaged, part, determination, begins, account, applying, determined, enables, treated, defined, 119 applies, general, end, 50 years, entitled, meaning, acquired, transaction, considered, required, person, charged
